__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DATE_CREATED,DT_CHANGED,STOKA_CHANGED,GRUPA,STOKA,CODE,BARCODE,VALUTA_KUP,VALUTA_PROD_ED,VALUTA_PROD_DR,RAZFAS1,RAZFAS2,RELATOR,CENA_KUP,CENA_PROD_ED1,CENA_PROD_DR1,DDS_DEF,PROPS,NOTE,IS_SER_NO,MIN_KOLICH,MAX_KOLICH,WARRANTY,DOSTAW,INTRASTAT,COUNTRY,TEGLO,TREND,FOTO,FOTO2,FOTO3,THUMBNAIL,THUMBNAIL2,THUMBNAIL3,ASSOC,IS_ACTIVE,ACC_TIP,EEO_NO,EEO_TEGLO,WEB_IS_FOTO_CHANGED,CAT_ID,BONUS_ADD,BONUS_SUB,IS_ACTIVE_WEB,IS_ACTIVE_PARENT,IS_ACTIVE_WEB_PARENT,IS_VALID_EAN13,ITEM_ID,DT_CHANGED_FOTO,FOLLOW_NUM,WEB_PRODUCT_NAME,WEB_PRODUCT_NOTE,WEB_PRODUCT_NAME_EN,WEB_PRODUCT_NOTE_EN,WEB_PRODUCT_NAME2,WEB_PRODUCT_NAME2_EN,NOTE2,RAZFAS_STEP,WEB_MIN_KOLICH,KOLICH_STEP,KOLICH_STEP_DOST,NOTE_FG_COLOR,SIZE_X,SIZE_Y,SIZE_Z,WIN_MIN_KOLICH,FISCAL_RISK
1686,21,1,2025-08-06 14:31:22.226,1318833089,2026-06-17 15:45:29.119,М10,Болт с шест.гл. 8.8 vZn М10х40,00933 8801 10 40,00001234,M,L,L,бр.,,,0.086919,0.0,0.0,,|1—болт цинк|2—М10х40|,,N,50.0,50.0,,ИТТ БЪЛГАРИЯ ЕООД,50,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,230,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1686,23,1,2025-08-06 14:31:22.247,1318833073,2026-06-17 14:08:41.851,М10,Болт с шест.гл. 8.8 vZn М10х30,00933 8801 10 30,00001233,M,L,L,бр.,,,0.07158099999999999,0.0,0.0,,|1—болт цинк|2—М10х30|,,N,50.0,50.0,,ИТТ БЪЛГАРИЯ ЕООД,0,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,231,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1688,0,1,2025-08-06 14:31:22.255,1322654534,2026-06-16 13:30:08.978,М10,Болт с шест.гл. А2 М10х30,00933 9200 10 30,00000398,M,L,L,бр.,,,0.0,0.0,0.0,,|1—А2 болт|2—М10х30|,,N,1.0,2.0,,ИТТ БЪЛГАРИЯ ЕООД,40,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,232,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1688,2,1,2025-08-06 14:31:22.272,1335160757,2026-07-24 08:10:07.039,М10,Гайка шест. 8 vZn М10,00934 8001 10,00001266,M,L,L,бр.,,,0.0201,0.0,0.0,,|1—гайка цинк|2—М10|,,N,50.0,50.0,,ИТТ БЪЛГАРИЯ ЕООД,78,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,233,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1688,4,1,2025-08-06 14:31:22.281,1318841150,2026-08-03 07:55:14.532,М10,Шайба подложна vZn М10,00125 0001 10,00001498,M,L,L,бр.,,,0.01,0.0,0.0,,|1—шайба цинк|2—М10|,,N,50.0,50.0,,ИТТ БЪЛГАРИЯ ЕООД,79,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,234,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1688,6,1,2025-08-06 14:31:22.288,1321851410,2026-06-16 13:30:08.978,М10,Шайба с широка периферия vZn М10,09021 0001 10,00001505,M,L,L,бр.,,,0.02,0.0,0.0,,|1—широка шайба|2—М10|,,N,50.0,50.0,,ИТТ БЪЛГАРИЯ ЕООД,100,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,235,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1688,8,1,2025-08-06 14:31:22.297,1322654567,2026-06-16 13:30:08.978,М10,Гайка шест. А2 М10,00934 9200 10,00000402,M,L,L,бр.,,,0.0,0.0,0.0,,|1—А2 гайка|2—М10|,,N,1.0,2.0,,ИТТ БЪЛГАРИЯ ЕООД,53,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,236,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1688,10,1,2025-08-06 14:31:22.304,1322654571,2026-06-16 13:30:08.978,М10,Шайба пружинна А2 М10,00127 9220 10,00000405,M,L,L,бр.,,,0.0,0.0,0.0,,|1—А2 федер шайба|2—М10|,,N,1.0,2.0,,ИТТ БЪЛГАРИЯ ЕООД,13,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,237,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1688,11,1,2025-08-06 14:42:59.358,1320962427,2026-06-16 13:30:08.978,Машини,Ексцентършлайф Bosch GEX 125-1 AE,,00000519,M,L,L,бр.,,,0.0,0.0,0.0,,|1—Ексцентършлайф|3—Bosch|4—GEX 125-1 AE|5—производствен цех|,,Y,1.0,2.0,,,1,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,265,,0.0,,,,,,,327001725,,,,,0,0.0,0.0,0.0,,N
1688,13,1,2025-08-06 14:31:22.335,1318837248,2026-07-10 09:52:43.409,М8,Болт с шест.гл. 8.8 vZn М8х25,00933 8801 8 25,00001249,M,L,L,бр.,,,0.040852,0.0,0.0,,|1—болт цинк|2—М8х25|,,N,1.0,2.0,,ИТТ БЪЛГАРИЯ ЕООД,92,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,239,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
