__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DT_CREATED,DT_VAR,DT_STP,POS,ED_CENA,KOLICH,KOLICH2,MODIFY_MAT_VAL,MODIFY_MAT_TIP,MODIFY_VAL,MODIFY_TIP,PROPS,SIZE1
8503,3,1,42937997,1312037749,-2,1,39.48985450886,1.0,0.0,0.0,%,0.0,%,|137—13 мин|,
8503,5,1,35853460,1312063269,-2,1,163.7268,1.0,0.0,0.0,%,0.0,%,|137—5 часа и 33  мин|,
8503,6,1,46788473,1312034596,-2,1,29.609891055927,1.0,0.0,0.0,%,0.0,%,|137—65 мин|,
8503,8,1,39297021,1300860839,46494003,1,243962.3434744356,1.0,0.0,0.0,%,0.0,%,,
8503,13,1,47990845,1312062665,-2,1,16.7773932571168,1.0,0.0,0.0,%,0.0,%,|137—52 мин|,
8503,15,1,47122425,1321638418,36860047,1,80.02,30.0,0.0,0.0,%,0.0,%,,
8503,16,1,49935511,1312040009,-2,2,51.449644524874884,1.0,0.0,0.0,%,0.0,%,|137—77 мин|,
8503,17,1,47122425,1321638418,45905695,1,80.02,30.0,0.0,0.0,%,0.0,%,,
8503,20,1,46928733,1312038500,-1,1,0.0,0.0,0.0,0.0,%,0.0,%,,
8503,22,1,47122425,1321638418,-1,1,80.02,30.0,0.0,0.0,%,0.0,%,,
8503,25,1,46928733,1312040009,-1,2,25.98928,2.0,0.0,0.0,%,0.0,%,|137—77 мин|,
8503,27,1,35253452,1312063269,-1,1,163.73000000000002,1.0,0.0,0.0,%,0.0,%,|137—5 часа и 33  мин|,
8503,29,1,46928733,1312038500,40771899,1,0.0,0.0,0.0,0.0,%,0.0,%,,
8503,30,1,44642751,1312037749,-1,1,20.190842,2.0,0.0,0.0,%,0.0,%,|137—13 мин|,
8503,31,1,47052848,1312049510,-1,1,86.7601099,1.0,0.0,0.0,%,0.0,%,|137—20 мин|,
8503,32,1,33563746,1312062665,-1,1,8.2208,1.0,0.0,0.0,%,0.0,%,|137—52 мин|,
8503,34,1,47052848,1312049510,41239097,1,86.7601099,1.0,0.0,0.0,%,0.0,%,|137—20 мин|,
8503,37,1,34223473,1312034596,-1,1,15.1392969,1.0,0.0,0.0,%,0.0,%,|137—65 мин|,
8503,39,1,44642751,1312037749,46085756,1,20.190842,2.0,0.0,0.0,%,0.0,%,|137—13 мин|,
8618,1,1,46928733,1312040009,40771899,2,25.98928,2.0,0.0,0.0,%,0.0,%,|137—77 мин|,
8618,4,1,33563746,1312062665,47875829,1,8.2208,1.0,0.0,0.0,%,0.0,%,|137—52 мин|,
8618,8,1,34223473,1312034596,46441739,1,15.1392969,1.0,0.0,0.0,%,0.0,%,|137—65 мин|,
8618,11,1,35253452,1312063269,35646698,1,163.73000000000002,1.0,0.0,0.0,%,0.0,%,|137—5 часа и 33  мин|,
8618,14,1,47816762,1311532157,-2,1,6238.829341999999,1.0,0.0,0.0,%,0.0,%,,
8618,15,1,35662472,1308356621,-1,1,92.276638,10.0,0.0,0.0,%,0.0,%,|137—5 часа 20 мин|,
8618,16,1,46947183,1308348189,-1,1,0.5894252873563218,10.0,0.0,0.0,%,0.0,%,|137—30 мин|,
8618,17,1,43656528,1310539391,44713511,1,23.93066666666667,3.3,0.0,0.0,%,0.0,%,|137—9 часа 45 мин|,
8618,18,1,46263368,1308344164,-1,1,0.4748148148148148,10.0,0.0,0.0,%,0.0,%,|137—15 мин|,
8618,19,1,46947183,1308348189,49595758,1,0.5893103448275863,10.0,0.0,0.0,%,0.0,%,|137—30 мин|,
8618,20,1,36444547,1308344782,-1,1,1.8305084745762712,10.0,0.0,0.0,%,0.0,%,|137—15 мин|,
8618,21,1,35133179,1308351747,46162283,1,3.2699999999999996,10.0,0.0,0.0,%,0.0,%,,
8618,22,1,43656528,1310539391,-1,1,23.93066666666667,3.3,0.0,0.0,%,0.0,%,|137—9 часа 45 мин|,
8618,23,1,46263368,1308344164,36268270,1,0.4747222222222222,10.0,0.0,0.0,%,0.0,%,|137—15 мин|,
8618,24,1,36444547,1308344782,47051795,1,1.8305084745762712,10.0,0.0,0.0,%,0.0,%,|137—15 мин|,
8618,35,1,35662472,1308356621,35118242,1,90.2669,10.0,0.0,0.0,%,0.0,%,|137—5 часа 20 мин|,
8618,37,1,45739937,1308344782,-2,1,1.8305084745762712,6.49,0.0,0.0,%,0.0,%,|137—15 мин|,
8618,40,1,1300860756,1300860756,-2,1,3743.3062194572835,1.0,1.0,0.0,%,0.0,%,,
7339,20,1,39753949,1300860756,35842324,1,5401.907999999999,1.0,0.0,0.0,%,0.0,%,,
7339,22,1,39753949,1300860756,-1,1,3984.1681706298505,1.0,1.0,0.0,%,0.0,%,,
