__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DATETIME,NUM,POS,IS_FACTUR,SKLAD,GRUPA,STOKA,SER_NO,KOLICH,KOLICH2,PAY_KOLICH,PAY_KOLICH2,BACK_KOLICH,BACK_KOLICH2,REV_KOLICH,REV_KOLICH2,BACK_T_KOLICH,BACK_T_KOLICH2,REAL_KOLICH,REAL_KOLICH2,KOLICH_CHECK,KONSIGNACIA,KB_ID,CENA_LIST,CENA_LIST_TYPE,ENDDATE,DDS,CENA,VALUTA,DISCOUNT,DISCOUNT2,IS_REL_DISCOUNT,WARRANTY,KUP_CENA,KUP_VALUTA,P_DATETIME,P_NUM,RP_USD,RP_DM,RP_LV,RP_1,RP_2,RP_3,RP_4,RP_5,R_CENA,R_CENADDS,R_VALUTA,D_EDCENA,D_VALUTA,DR_CENA,DR_VALUTA,CD_ROW_DUTY,CD_SELL_KOLICH,PRODUCT_TAX,O_DATETIME,O_NUM,NOTE,PROPS_ROW,WMS_KOLICH,I_DATETIME,I_NUM,I_SMETKA
5680,6,5,38629448,3,1,Y,Склад,5. Устройства,Помпа (Pump MOD. HTM 10 SS316),251090/2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N,0,Доставни цени,N,2025-10-07 13:15:27.000,0.0,1347.5,M,-0.0,0.0,N,,1347.5,M,0,0,0.0,1347.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,1347.5,M,0.0,L,0.0,0.0,0.0,0,0,,,1.0,,,
5680,7,5,38833811,4,1,Y,Склад,2.5.5. Клапани,Иглен клапан (Slid. Gate Mot. Valve 8038 H2),2994840002/2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N,0,Доставни цени,N,2025-10-08 09:58:45.000,0.0,3569.44,M,-0.0,0.0,N,,3569.44,M,0,0,0.0,3569.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,3569.44,M,0.0,L,0.0,0.0,0.0,0,0,,,1.0,,,
5680,8,5,38833811,3,2,Y,Склад,2.5.5. Клапани,Иглен клапан (Slid. Gate Mot. Valve 8038 О2),2994840001/2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N,0,Доставни цени,N,2025-10-08 09:58:45.000,0.0,3233.29,M,-0.0,0.0,N,,3233.29,M,0,0,0.0,3233.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,3233.29,M,0.0,L,0.0,0.0,0.0,0,0,,,1.0,,,
5680,9,5,46148290,1,1,Y,Склад,Сензори,Дебитомер Н2,06c53400200,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N,0,Доставни цени,N,2025-10-08 11:58:48.000,0.0,1735.0,M,-0.0,0.0,N,,1735.0,M,0,0,0.0,1735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,1735.0,M,0.0,L,0.0,0.0,0.0,0,0,,,1.0,,,
5680,10,5,46148290,2,2,Y,Склад,Сензори,Дебитомер О2,06c53400199,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N,0,Доставни цени,N,2025-10-08 11:58:48.000,0.0,2506.0,M,-0.0,0.0,N,,2506.0,M,0,0,0.0,2506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,2506.0,M,0.0,L,0.0,0.0,0.0,0,0,,,1.0,,,
5680,11,5,46148290,3,3,Y,Склад,Други (Електроника),Управление за дебитомери,06c53400198,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N,0,Доставни цени,N,2025-10-08 11:58:48.000,0.0,2254.0,M,-0.0,0.0,N,,2254.0,M,0,0,0.0,2254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,2254.0,M,0.0,L,0.0,0.0,0.0,0,0,,,1.0,,,
5680,12,5,46148290,4,4,Y,Склад,Кабели - Захранващи,Кабел захранващ 3м,928991/110925,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,N,0,Доставни цени,N,2025-10-08 11:58:48.000,0.0,542.73,M,-0.0,0.0,N,,180.91,M,0,0,0.0,542.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,180.91,M,0.0,L,0.0,0.0,0.0,0,0,,,3.0,,,
5680,13,5,49596078,1,1,Y,Склад,Газ анализ - Сензори,Анализатор на общозапалими вещества Sirius 8866,E250569/111,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N,0,Доставни цени,N,2025-10-09 08:12:32.000,0.0,3033.6,M,-0.0,0.0,N,,3033.6,M,0,0,0.0,3033.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,3033.6,M,0.0,L,0.0,0.0,0.0,0,0,,,1.0,,,
5680,14,5,49596078,2,2,Y,Склад,Газ анализ - Сензори,Електрохимичен кислороден анализатор OxyTrend E2,E250569/1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N,0,Доставни цени,N,2025-10-09 08:12:32.000,0.0,1643.500802,M,-0.0,0.0,N,,1643.500802,M,0,0,0.0,1643.500802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,1643.500802,M,0.0,L,0.0,0.0,0.0,0,0,,,1.0,,,
5680,15,5,49596078,3,3,Y,Склад,Газ анализ - Сензори,Universal control unit,E250569/1111,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N,0,Доставни цени,N,2025-10-09 08:12:32.000,0.0,1527.68,M,-0.0,0.0,N,,1527.68,M,0,0,0.0,1527.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,1527.68,M,0.0,L,0.0,0.0,0.0,0,0,,,1.0,,,
